date,uniquekey,Complaint Type
8/7/2020,188,Noise - Vehicle
8/7/2020,1222,Noise - Residential
8/7/2020,2,Noise - House of Worship
8/7/2020,5,Noise - Helicopter
8/7/2020,92,Noise
8/7/2020,701,Noise - Street/Sidewalk
8/7/2020,29,Noise - Park
8/7/2020,156,Noise - Commercial
8/6/2020,1,Noise - House of Worship
8/6/2020,150,Noise - Commercial
8/6/2020,47,Noise - Park
8/6/2020,109,Noise
8/6/2020,13,Noise - Helicopter
8/6/2020,775,Noise - Street/Sidewalk
8/6/2020,328,Noise - Vehicle
8/6/2020,1324,Noise - Residential
8/5/2020,1351,Noise - Residential
8/5/2020,262,Noise - Vehicle
8/5/2020,118,Noise
8/5/2020,14,Noise - Helicopter
8/5/2020,609,Noise - Street/Sidewalk
8/5/2020,47,Noise - Park
8/5/2020,112,Noise - Commercial
8/5/2020,1,Noise - House of Worship
8/4/2020,982,Noise - Residential
8/4/2020,195,Noise - Vehicle
8/4/2020,46,Noise - Commercial
8/4/2020,9,Noise - Park
8/4/2020,58,Noise
8/4/2020,3,Noise - Helicopter
8/4/2020,306,Noise - Street/Sidewalk
8/3/2020,759,Noise - Residential
8/3/2020,255,Noise - Vehicle
8/3/2020,18,Noise - Park
8/3/2020,584,Noise - Street/Sidewalk
8/3/2020,8,Noise - Helicopter
8/3/2020,68,Noise
8/3/2020,67,Noise - Commercial
8/2/2020,2923,Noise - Residential
8/2/2020,636,Noise - Vehicle
8/2/2020,209,Noise - Commercial
8/2/2020,46,Noise - Park
8/2/2020,36,Noise
8/2/2020,8,Noise - Helicopter
8/2/2020,1739,Noise - Street/Sidewalk
8/2/2020,3,Noise - House of Worship
8/1/2020,4214,Noise - Residential
8/1/2020,690,Noise - Vehicle
8/1/2020,1836,Noise - Street/Sidewalk
8/1/2020,3,Noise - Helicopter
8/1/2020,100,Noise
8/1/2020,81,Noise - Park
8/1/2020,285,Noise - Commercial
8/1/2020,4,Noise - House of Worship
7/31/2020,51,Noise - Park
7/31/2020,889,Noise - Street/Sidewalk
